Yıl,Yaş,Kişi başına gayri safi yurt içi hasılat ($),CLASS
1987,1,796,1
1988,1,769,1
1989,1,833,1
1992,2,251,1
1993,2,437,1
1994,2,697,1
1995,2,835,1
1996,2,1127,1
1997,2,793,1
1998,2,899,1
1999,2,1127,1
2000,2,1299,1
2001,2,1451,1
2001,3,1451,1
2002,3,1573,1
2002,2,1573,1
2003,2,2021,1
2003,3,2021,1
2004,3,2544,1
2004,2,2544,1
2005,2,2931,1
2005,3,2931,1
2006,2,3235,1
2006,3,3235,1
2007,3,3863,1
2007,2,3863,1
2008,2,4672,1
2008,3,4672,1
2009,2,4387,1
2009,3,4387,1
2010,2,4359,1
2010,3,4359,1
1985,1,9759,1
1986,1,13911,1
1987,1,17415,1
1988,1,18663,1
1989,1,18544,1
1990,1,23020,1
1991,2,23808,1
1992,2,26450,1
1993,2,25611,1
1994,2,27274,1
1995,2,32237,1
1996,2,31660,1
1997,2,28325,1
1998,2,28972,1
1999,2,28722,1
2000,2,25922,1
2001,3,25848,1
2001,2,25848,1
2002,3,27772,1
2002,2,27772,1
2003,3,33889,1
2003,2,33889,1
2004,3,38711,1
2004,2,38711,1
2005,3,40367,1
2005,2,40367,1
2006,3,42698,1
2006,2,42698,1
2007,3,49218,1
2007,2,49218,1
2008,3,54294,1
2008,2,54294,1
2009,3,50356,1
2009,2,50356,1
2010,3,49181,1
2010,2,49181,1
2011,3,53923,1
2012,3,50979,1
2013,3,53229,1
2014,3,54278,1
2015,3,46484,1
2016,3,46976,1
1990,1,2301,1
1991,2,1899,1
1992,2,1780,1
1993,2,1689,1
1994,2,1547,1
1995,2,1444,1
1996,2,1524,1
1997,2,1458,1
1998,2,1570,1
1999,2,1269,1
2000,2,1335,1
2001,2,1299,1
2001,3,1299,1
2002,2,1541,1
2002,3,1541,1
2003,2,1892,1
2003,3,1892,1
2007,3,4898,1
2007,2,4898,1
2008,3,6601,1
2008,2,6601,1
2009,3,5366,1
2009,2,5366,1
2010,3,6371,1
2010,2,6371,1
2011,3,6902,1
2013,3,8477,1
2014,3,8849,1
1985,1,9356,1
1986,1,12992,1
1987,1,16165,1
1988,1,17509,1
1989,1,17659,1
1990,1,22032,1
1991,2,22523,1
1992,2,25036,1
1993,2,23875,1
1994,2,25922,1
1995,2,30394,1
1996,2,29438,1
1997,2,26609,1
1998,2,27087,1
1999,2,26969,1
2000,2,24592,1
2001,3,24494,1
2001,2,24494,1
2002,3,26526,1
2002,2,26526,1
2003,3,32538,1
2003,2,32538,1
2004,3,37661,1
2004,2,37661,1
2005,3,39124,1
2005,2,39124,1
2006,3,41135,1
2006,2,41135,1
2007,3,47040,1
2007,2,47040,1
2008,3,51345,1
2008,2,51345,1
2009,3,47630,1
2009,2,47630,1
2010,3,47355,1
2010,2,47355,1
2011,3,50893,1
2012,3,47678,1
2013,3,49489,1
2014,3,50173,1
2015,3,42830,1
2011,3,5076,1
2014,3,5079,1
1985,1,2044,1
1986,1,2413,1
1987,1,3355,1
1988,1,2688,1
1989,1,2617,1
1990,1,2451,1
1991,2,1298,1
1992,2,1287,1
1993,2,1354,1
1994,2,1213,1
1995,2,1636,1
1996,2,1270,1
1997,2,1411,1
1998,2,1852,1
1999,2,1715,1
2000,2,1680,1
2001,3,1854,1
2001,2,1854,1
2002,3,2157,1
2002,2,2157,1
2003,3,2800,1
2003,2,2800,1
2004,3,3485,1
2004,2,3485,1
2005,3,4003,1
2005,2,4003,1
2006,3,4638,1
2006,2,4638,1
2007,3,6073,1
2007,2,6073,1
2008,3,7487,1
2008,2,7487,1
2009,3,7186,1
2009,2,7186,1
2010,3,7066,1
2010,2,7066,1
2011,3,8137,1
2012,3,7745,1
2013,3,8057,1
2014,3,8241,1
1995,2,4978,1
1996,2,5610,1
1997,2,5546,1
1998,2,6015,1
1999,2,5459,1
2000,2,5288,1
2001,3,5571,1
2001,2,5571,1
2002,3,6373,1
2002,2,6373,1
2003,3,8202,1
2003,2,8202,1
2004,3,9829,1
2004,2,9829,1
2005,3,10722,1
2005,2,10722,1
2006,3,11914,1
2006,2,11914,1
2007,3,14204,1
2007,2,14204,1
2008,3,16680,1
2008,2,16680,1
2009,3,14872,1
2009,2,14872,1
2010,3,14232,1
2010,2,14232,1
2011,3,14890,1
2012,3,13952,1
2013,3,14362,1
2014,3,14299,1
2015,3,12351,1
2016,3,12905,1
1999,2,12389,1
2000,2,11635,1
2004,2,25227,1
2004,3,25227,1
2005,2,26671,1
2005,3,26671,1
2006,2,28600,1
2006,3,28600,1
2007,3,33048,1
2007,2,33048,1
2008,3,37267,1
2008,2,37267,1
2009,3,33816,1
2009,2,33816,1
2010,3,32477,1
2010,2,32477,1
2011,3,34249,1
2012,3,30752,1
2013,3,29624,1
2014,3,29024,1
2015,3,24718,1
2016,3,25098,1
1990,1,4168,1
1991,2,3070,1
1992,2,3573,1
1993,2,4186,1
1994,2,4891,1
1995,2,6134,1
1996,2,6861,1
1997,2,6314,1
1998,2,6779,1
1999,2,6606,1
2000,2,6278,1
2001,3,6863,1
